RecallPRA	PrecPRA	RecallHoffmann	PrecHoffmann	RecallWeston	PrecWeston	RecallPerMention	PrecPerMention	RecallPerEntityPair	PrecPerEntityPair
0.013874615	0.6	0.018499486	0.8	0.019055649	0.82469991	0.019527235	0.863636364	0.013874615	0.613636364
0.014388489	0.608695652	0.019013361	0.804347826	0.019055649	0.816261091	0.02004111	0.866666667	0.014388489	0.622222222
0.014388489	0.595744681	0.019527235	0.808510638	0.019224283	0.810983272	0.020554985	0.869565217	0.014902364	0.630434783
0.014388489	0.583333333	0.02004111	0.8125	0.020236088	0.815181335	0.021068859	0.872340426	0.015416238	0.638297872
0.014902364	0.591836735	0.020554985	0.816326531	0.020404722	0.805684106	0.021582734	0.875	0.015930113	0.645833333
0.015416238	0.6	0.021068859	0.82	0.020067454	0.798307256	0.022096608	0.87755102	0.016443988	0.653061224
0.015416238	0.588235294	0.021582734	0.823529412	0.020067454	0.789868437	0.022610483	0.88	0.016957862	0.66
0.015416238	0.576923077	0.022096608	0.826923077	0.021247892	0.790898386	0.023124358	0.882352941	0.017471737	0.666666667
0.015930113	0.58490566	0.022610483	0.830188679	0.021247892	0.781404715	0.023638232	0.884615385	0.017985612	0.673076923
0.015930113	0.574074074	0.023124358	0.833333333	0.022259696	0.78665763	0.024152107	0.886792453	0.018499486	0.679245283
0.015930113	0.563636364	0.023638232	0.836363636	0.023102867	0.790859251	0.024665982	0.888888889	0.019013361	0.685185185
0.015930113	0.553571429	0.023638232	0.821428571	0.023946037	0.797170577	0.025179856	0.890909091	0.019527235	0.690909091
0.015930113	0.543859649	0.024152107	0.824561404	0.024957841	0.802423492	0.025693731	0.892857143	0.02004111	0.696428571
0.016443988	0.551724138	0.024665982	0.827586207	0.02529511	0.79503241	0.026207605	0.894736842	0.020554985	0.701754386
0.016957862	0.559322034	0.025179856	0.830508475	0.025463744	0.786590034	0.02672148	0.896551724	0.021068859	0.706896552
0.017471737	0.566666667	0.025693731	0.833333333	0.026475548	0.788678393	0.027235355	0.898305085	0.021582734	0.711864407
0.017471737	0.557377049	0.026207605	0.836065574	0.026306914	0.780243132	0.027235355	0.883333333	0.022096608	0.716666667
0.017471737	0.548387097	0.02672148	0.838709677	0.026475548	0.770745903	0.027235355	0.868852459	0.022096608	0.704918033
0.017985612	0.555555556	0.027235355	0.841269841	0.027655987	0.773885557	0.027235355	0.85483871	0.022610483	0.709677419
0.017985612	0.546875	0.027749229	0.84375	0.028499157	0.778087177	0.027749229	0.857142857	0.023124358	0.714285714
